latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,region_tag
21.10255,72.63916,337.23,0.39,0.37,2026-08-31,0833,N20,nominal,2.0NRT,296.08,7.44,D,gujarat_industrial
21.102,72.63538,337.48,0.39,0.37,2026-08-31,0833,N20,nominal,2.0NRT,299.47,9.17,D,gujarat_industrial
31.41202,74.55347,330.68,0.39,0.44,2026-08-31,0835,N20,nominal,2.0NRT,299.58,1.49,D,punjab_agriculture
22.9333,69.69547,319.81,0.4,0.37,2026-08-31,2059,N20,nominal,2.0NRT,288.73,3.34,N,gujarat_industrial
22.93215,69.70328,304.41,0.4,0.37,2026-08-31,2059,N20,nominal,2.0NRT,291.76,1.67,N,gujarat_industrial
21.10775,72.64704,312.17,0.41,0.37,2026-08-31,2059,N20,nominal,2.0NRT,281.09,1.67,N,gujarat_industrial
21.10298,72.63417,330.34,0.41,0.37,2026-08-31,2059,N20,nominal,2.0NRT,284.89,2.63,N,gujarat_industrial
21.10232,72.63803,306.19,0.41,0.37,2026-08-31,2059,N20,nominal,2.0NRT,282.98,2.63,N,gujarat_industrial
30.25077,74.9136,308.85,0.4,0.37,2026-08-31,2057,N20,nominal,2.0NRT,296.36,1.01,N,punjab_agriculture
29.46107,76.8892,307.39,0.47,0.4,2026-08-31,2057,N20,nominal,2.0NRT,292.41,3.12,N,punjab_agriculture
30.66109,76.31641,334.5,0.43,0.38,2026-09-01,0813,N20,nominal,2.0NRT,298.08,3.62,D,punjab_agriculture
31.13703,74.91448,330.19,0.4,0.37,2026-09-01,0813,N20,low,2.0NRT,305.04,6.71,D,punjab_agriculture
31.12613,74.62209,336.29,0.39,0.36,2026-09-01,0813,N20,nominal,2.0NRT,298.91,8,D,punjab_agriculture
29.12574,75.77645,309.75,0.41,0.37,2026-09-01,2040,N20,nominal,2.0NRT,295.3,0.88,N,punjab_agriculture
21.10774,72.64625,339.47,0.45,0.39,2026-09-01,2042,N20,nominal,2.0NRT,293.54,5.93,N,gujarat_industrial
21.10893,72.63769,312.71,0.45,0.39,2026-09-01,2042,N20,nominal,2.0NRT,292.29,2.98,N,gujarat_industrial
21.10419,72.64568,323.91,0.45,0.39,2026-09-01,2042,N20,nominal,2.0NRT,291.88,4.03,N,gujarat_industrial
21.10184,72.63655,324.85,0.45,0.39,2026-09-01,2042,N20,nominal,2.0NRT,291.8,3.51,N,gujarat_industrial
30.21693,76.76219,306.64,0.4,0.45,2026-09-02,2019,N20,nominal,2.0NRT,288.61,1.37,N,punjab_agriculture
21.10632,72.64294,338.93,0.55,0.51,2026-09-02,2021,N20,nominal,2.0NRT,291.19,5.46,N,gujarat_industrial
21.10572,72.64827,307.52,0.55,0.51,2026-09-02,2021,N20,nominal,2.0NRT,290.68,5.46,N,gujarat_industrial
21.10291,72.64852,334.62,0.6,0.7,2026-09-03,0733,N20,nominal,2.0NRT,288.64,9.08,D,gujarat_industrial
21.16354,72.67133,338.1,0.59,0.7,2026-09-03,0733,N20,nominal,2.0NRT,287.54,5.44,D,gujarat_industrial
21.16206,72.674,341.15,0.56,0.68,2026-09-03,0915,N20,nominal,2.0NRT,289,6.29,D,gujarat_industrial
29.91132,74.94312,306.14,0.49,0.65,2026-09-03,2002,N20,nominal,2.0NRT,290.62,0.8,N,punjab_agriculture
29.91007,74.94244,304.52,0.49,0.65,2026-09-03,2002,N20,nominal,2.0NRT,290.73,1.02,N,punjab_agriculture
29.48014,76.85374,305.02,0.37,0.58,2026-09-03,2002,N20,nominal,2.0NRT,288.34,0.73,N,punjab_agriculture
29.47475,76.85314,367,0.37,0.58,2026-09-03,2002,N20,high,2.0NRT,288.75,8.36,N,punjab_agriculture
29.47446,76.85703,309.14,0.37,0.58,2026-09-03,2002,N20,nominal,2.0NRT,288.99,5.44,N,punjab_agriculture
29.47757,76.85374,367,0.37,0.58,2026-09-03,2002,N20,high,2.0NRT,288.83,9.46,N,punjab_agriculture
