latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.57776,101.66521,340.32,0.34,0.56,2026-09-06,0544,N21,nominal,2.0NRT,295.62,4.21,D
27.87482,96.91916,325.16,0.62,0.71,2026-09-06,0544,N21,nominal,2.0NRT,288.27,9.28,D
14.10067,100.33099,328.96,0.77,0.77,2026-09-06,0540,N21,nominal,2.0NRT,286.3,10.04,D
14.22676,100.41496,329.67,0.75,0.77,2026-09-06,0540,N21,nominal,2.0NRT,285.11,4.04,D
14.50785,100.5515,334.08,0.73,0.76,2026-09-06,0540,N21,nominal,2.0NRT,286.77,12.23,D
14.50282,100.55569,328.12,0.72,0.76,2026-09-06,0540,N21,nominal,2.0NRT,286.69,6.33,D
14.65038,100.67854,344.83,0.71,0.75,2026-09-06,0540,N21,nominal,2.0NRT,287.12,12.61,D
14.6516,100.67538,329.29,0.71,0.75,2026-09-06,0540,N21,nominal,2.0NRT,286.85,13.45,D
15.146,100.20923,330.33,0.74,0.76,2026-09-06,0540,N21,nominal,2.0NRT,285.64,5.66,D
15.15005,100.03127,333.1,0.76,0.77,2026-09-06,0540,N21,nominal,2.0NRT,286.3,12.76,D
15.14838,100.029,335.75,0.76,0.77,2026-09-06,0540,N21,nominal,2.0NRT,286.2,9.64,D
15.20299,100.04566,349.23,0.76,0.77,2026-09-06,0540,N21,nominal,2.0NRT,286.02,14.28,D
35.46502,101.95705,329.67,0.42,0.46,2026-09-06,0546,N21,nominal,2.0NRT,294.79,2.11,D
6.13999,81.04825,333.88,0.41,0.61,2026-09-06,0718,N21,nominal,2.0NRT,295.22,6.32,D
26.75753,91.44517,339.79,0.39,0.44,2026-09-06,0724,N21,nominal,2.0NRT,292.25,5.19,D
6.20039,81.16876,335.24,0.4,0.6,2026-09-06,0718,N21,nominal,2.0NRT,296.39,3.8,D
27.37982,95.33495,331,0.34,0.56,2026-09-06,0724,N21,nominal,2.0NRT,289.17,3.08,D
6.20132,81.16903,333.27,0.4,0.6,2026-09-06,0718,N21,nominal,2.0NRT,296.47,3.69,D
27.98455,96.97561,328.55,0.44,0.63,2026-09-06,0724,N21,nominal,2.0NRT,290.76,6.63,D
27.98621,96.97636,336.58,0.44,0.63,2026-09-06,0724,N21,nominal,2.0NRT,291.79,6.46,D
6.2606,80.85835,351.16,0.42,0.61,2026-09-06,0718,N21,nominal,2.0NRT,293.8,5.93,D
29.13242,89.25173,329.32,0.48,0.4,2026-09-06,0724,N21,low,2.0NRT,303.32,5.2,D
6.34997,81.34798,335.99,0.39,0.59,2026-09-06,0718,N21,nominal,2.0NRT,287.72,4.88,D
37.30443,79.85003,336.9,0.43,0.38,2026-09-06,0729,N21,nominal,2.0NRT,294.91,4.43,D
6.26617,80.85738,339.29,0.42,0.61,2026-09-06,0718,N21,nominal,2.0NRT,296.69,5.93,D
37.3087,79.85382,330.98,0.43,0.38,2026-09-06,0729,N21,nominal,2.0NRT,294.47,5.25,D
6.26479,80.856,351.46,0.42,0.61,2026-09-06,0718,N21,nominal,2.0NRT,296.69,13.31,D
6.3413,81.12635,346.24,0.4,0.6,2026-09-06,0718,N21,nominal,2.0NRT,297.66,7.03,D
37.30785,79.84907,347.71,0.43,0.38,2026-09-06,0729,N21,nominal,2.0NRT,295.15,5.25,D
6.34067,81.12275,338.15,0.4,0.6,2026-09-06,0718,N21,nominal,2.0NRT,297.11,7.03,D
6.3811,81.03073,367,0.41,0.61,2026-09-06,0718,N21,high,2.0NRT,295.37,22.19,D
38.05305,67.26252,367,0.57,0.69,2026-09-06,0729,N21,high,2.0NRT,316.06,23.39,D
6.38048,81.02711,347.96,0.41,0.61,2026-09-06,0718,N21,nominal,2.0NRT,294.27,22.19,D
